"Município";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"260545 FERNANDO DE NORONHA";"82";"54";"71";"283";"409";"311";"1210"
"260550 FERREIROS";"213";"228";"323";"884";"495";"605";"2748"
"260560 FLORES";"379";"557";"364";"497";"1097";"1411";"4305"
"260570 FLORESTA";"960";"793";"1125";"1438";"2344";"1523";"8183"
"260580 FREI MIGUELINHO";"266";"243";"321";"412";"1925";"673";"3840"
"260590 GAMELEIRA";"912";"796";"816";"2574";"2964";"2511";"10573"
"260600 GARANHUNS";"4598";"5033";"3944";"4630";"6480";"8279";"32964"
"260610 GLORIA DO GOITA";"695";"844";"620";"1433";"2307";"1842";"7741"
"260620 GOIANA";"3978";"4504";"2282";"3431";"6207";"4331";"24733"
"260630 GRANITO";"186";"223";"204";"237";"473";"479";"1802"
"260640 GRAVATA";"2497";"3753";"2195";"2567";"5678";"3281";"19971"
"260650 IATI";"143";"555";"685";"627";"1158";"1474";"4642"
"260660 IBIMIRIM";"724";"1082";"873";"1215";"3140";"2582";"9616"
"260670 IBIRAJUBA";"198";"266";"1524";"392";"1350";"531";"4261"
"260680 IGARASSU";"4135";"3014";"3312";"5018";"9801";"3944";"29224"
"260690 IGUARACY";"311";"398";"253";"899";"520";"582";"2963"
"260700 INAJA";"396";"630";"594";"1033";"1872";"1312";"5837"
"260710 INGAZEIRA";"126";"114";"145";"260";"357";"273";"1275"
"260720 IPOJUCA";"3785";"5600";"4026";"4555";"13350";"4494";"35810"
"260730 IPUBI";"1278";"1531";"1092";"1095";"2027";"1791";"8814"
"260740 ITACURUBA";"253";"197";"136";"342";"537";"381";"1846"
"260750 ITAIBA";"1293";"914";"719";"946";"2058";"1375";"7305"
"260760 ILHA DE ITAMARACA";"1229";"960";"956";"1779";"1938";"1050";"7912"
"260765 ITAMBE";"762";"1156";"873";"1544";"1839";"1416";"7590"
"260770 ITAPETIM";"243";"384";"389";"820";"812";"1443";"4091"
"260775 ITAPISSUMA";"901";"1569";"843";"2704";"2513";"1710";"10240"
"260780 ITAQUITINGA";"252";"382";"590";"720";"1336";"1442";"4722"
"260790 JABOATAO DOS GUARARAPES";"24575";"31908";"13242";"31647";"39012";"22885";"163269"
"260795 JAQUEIRA";"417";"814";"483";"627";"954";"716";"4011"
"260800 JATAUBA";"663";"667";"499";"712";"1670";"1421";"5632"
"260805 JATOBA";"325";"736";"560";"650";"1352";"640";"4263"
"260810 JOAO ALFREDO";"734";"594";"784";"2252";"1865";"1789";"8018"
"260820 JOAQUIM NABUCO";"423";"592";"485";"907";"1141";"666";"4214"
"260825 JUCATI";"579";"158";"423";"803";"907";"593";"3463"
"260830 JUPI";"667";"914";"720";"684";"1832";"1354";"6171"
"260840 JUREMA";"326";"358";"413";"435";"1340";"1248";"4120"
"260845 LAGOA DO CARRO";"469";"747";"423";"1053";"2153";"3344";"8189"
"260850 LAGOA DE ITAENGA";"1187";"970";"781";"1259";"1574";"1169";"6940"
"260860 LAGOA DO OURO";"417";"440";"308";"464";"753";"556";"2938"
"260870 LAGOA DOS GATOS";"382";"405";"363";"284";"993";"668";"3095"
"260875 LAGOA GRANDE";"771";"850";"762";"1411";"3018";"2558";"9370"
"260880 LAJEDO";"960";"847";"1328";"1886";"1668";"1390";"8079"
"260890 LIMOEIRO";"1425";"1612";"3150";"3227";"3692";"4399";"17505"
"260900 MACAPARANA";"581";"763";"715";"2302";"1211";"2373";"7945"
"260910 MACHADOS";"373";"370";"269";"496";"1071";"1267";"3846"
"260915 MANARI";"475";"711";"611";"818";"1417";"763";"4795"
"260920 MARAIAL";"503";"504";"421";"597";"887";"877";"3789"
"260930 MIRANDIBA";"505";"345";"453";"872";"2072";"1725";"5972"
"260940 MORENO";"1430";"1886";"1328";"1681";"4026";"2057";"12408"
"260950 NAZARE DA MATA";"1394";"8120";"4984";"5710";"4423";"4110";"28741"
"260960 OLINDA";"13249";"15198";"8934";"18621";"33695";"18161";"107858"
"260970 OROBO";"501";"860";"505";"620";"1121";"1266";"4873"
"260980 OROCO";"491";"465";"469";"841";"1404";"1223";"4893"
"260990 OURICURI";"2052";"2136";"2237";"4625";"6241";"3910";"21201"
"261000 PALMARES";"2095";"2847";"1555";"1804";"2399";"2896";"13596"
"261010 PALMEIRINA";"217";"237";"304";"284";"222";"450";"1714"
"261020 PANELAS";"644";"661";"997";"786";"1079";"846";"5013"
"261030 PARANATAMA";"235";"254";"424";"831";"989";"935";"3668"
"261040 PARNAMIRIM";"752";"1108";"796";"1129";"1684";"1389";"6858"
"261050 PASSIRA";"805";"874";"1033";"1357";"1012";"1366";"6447"
"261060 PAUDALHO";"1429";"1682";"2775";"5896";"3624";"4399";"19805"
"261070 PAULISTA";"8619";"13874";"9935";"10022";"34558";"7791";"84799"
"261080 PEDRA";"467";"600";"513";"1067";"2032";"2335";"7014"
"261090 PESQUEIRA";"2516";"10133";"1948";"2769";"4339";"4720";"26425"
"261100 PETROLANDIA";"1992";"1937";"1512";"2587";"3526";"1694";"13248"
"261110 PETROLINA";"16541";"10064";"10554";"24986";"30248";"27803";"120196"
"261120 POCAO";"258";"142";"186";"1026";"1829";"602";"4043"
"261130 POMBOS";"1336";"1295";"919";"1227";"4029";"441";"9247"
"261140 PRIMAVERA";"413";"456";"415";"729";"452";"237";"2702"
"261150 QUIPAPA";"778";"1078";"1350";"1530";"2368";"1144";"8248"
"261153 QUIXABA";"150";"203";"146";"234";"321";"738";"1792"
"261160 RECIFE";"58827";"96567";"68759";"84932";"162174";"89121";"560380"
"261170 RIACHO DAS ALMAS";"479";"485";"494";"459";"1685";"795";"4397"
"261180 RIBEIRAO";"2988";"4021";"1845";"3046";"3091";"3815";"18806"
"261190 RIO FORMOSO";"1213";"920";"804";"2481";"1955";"2277";"9650"
"261200 SAIRE";"300";"351";"122";"403";"1074";"487";"2737"
"261210 SALGADINHO";"144";"141";"146";"447";"358";"464";"1700"
"261220 SALGUEIRO";"2347";"2469";"2511";"7612";"6104";"4647";"25690"
"261230 SALOA";"347";"410";"535";"820";"1320";"2001";"5433"
"261240 SANHARO";"663";"613";"522";"558";"1902";"1209";"5467"
"261245 SANTA CRUZ";"398";"409";"384";"806";"825";"1063";"3885"
"261247 SANTA CRUZ DA BAIXA VERDE";"450";"511";"347";"1052";"837";"903";"4100"
"261250 SANTA CRUZ DO CAPIBARIBE";"3164";"2371";"2664";"2777";"25180";"6016";"42172"
"261255 SANTA FILOMENA";"494";"445";"309";"791";"459";"816";"3314"
"261260 SANTA MARIA DA BOA VISTA";"1624";"1150";"1264";"2296";"3304";"2954";"12592"
"261270 SANTA MARIA DO CAMBUCA";"442";"348";"309";"495";"647";"845";"3086"
"261280 SANTA TEREZINHA";"520";"414";"390";"647";"692";"588";"3251"
"261290 SAO BENEDITO DO SUL";"392";"157";"252";"313";"791";"727";"2632"
"261300 SAO BENTO DO UNA";"1532";"1724";"1695";"2366";"3022";"2911";"13250"
"261310 SAO CAITANO";"1597";"1477";"785";"2241";"2856";"1594";"10550"
"261320 SAO JOAO";"559";"463";"667";"811";"1766";"1532";"5798"
"261330 SAO JOAQUIM DO MONTE";"806";"917";"601";"1002";"3207";"3423";"9956"
"261340 SAO JOSE DA COROA GRANDE";"738";"810";"962";"1044";"2061";"869";"6484"
"261350 SAO JOSE DO BELMONTE";"806";"856";"756";"2097";"2215";"2412";"9142"
"261360 SAO JOSE DO EGITO";"689";"1227";"1010";"3248";"1845";"1653";"9672"
"261370 SAO LOURENCO DA MATA";"3948";"4180";"4529";"12908";"26727";"1235";"53527"
"261380 SAO VICENTE FERRER";"252";"450";"471";"1872";"1043";"1413";"5501"
"261390 SERRA TALHADA";"3260";"3986";"3672";"5479";"7669";"7560";"31626"
"261400 SERRITA";"577";"709";"565";"932";"2010";"1030";"5823"
"261410 SERTANIA";"933";"1855";"847";"1002";"1981";"1391";"8009"
"261420 SIRINHAEM";"1966";"1153";"1481";"2140";"2172";"1202";"10114"
"261430 MOREILANDIA";"192";"264";"415";"484";"895";"869";"3119"
"261440 SOLIDAO";"175";"103";"189";"614";"507";"497";"2085"
"261450 SURUBIM";"1223";"1733";"1251";"2108";"4572";"4972";"15859"
"261460 TABIRA";"753";"823";"667";"1560";"1572";"1121";"6496"
"261470 TACAIMBO";"280";"197";"1854";"548";"1187";"655";"4721"
"261480 TACARATU";"558";"1118";"843";"1301";"1628";"1323";"6771"
"261485 TAMANDARE";"741";"939";"1088";"1394";"1891";"1526";"7579"
"261500 TAQUARITINGA DO NORTE";"945";"1006";"848";"1123";"13498";"1032";"18452"
"261510 TEREZINHA";"109";"172";"231";"267";"407";"343";"1529"
"261520 TERRA NOVA";"356";"315";"249";"327";"653";"780";"2680"
"261530 TIMBAUBA";"1384";"1812";"1537";"4469";"2973";"2383";"14558"
"261540 TORITAMA";"920";"1159";"979";"2077";"3263";"309";"8707"
"261550 TRACUNHAEM";"427";"471";"504";"752";"1068";"842";"4064"
"261560 TRINDADE";"1097";"1287";"1252";"1390";"1607";"1483";"8116"
"261570 TRIUNFO";"394";"465";"376";"773";"984";"1270";"4262"
"261580 TUPANATINGA";"447";"532";"493";"934";"1563";"1117";"5086"
"261590 TUPARETAMA";"372";"167";"238";"887";"333";"357";"2354"
"261600 VENTUROSA";"421";"791";"594";"890";"1773";"928";"5397"
"261610 VERDEJANTE";"283";"333";"450";"475";"457";"1076";"3074"
"261618 VERTENTE DO LERIO";"234";"287";"379";"295";"788";"474";"2457"
"261620 VERTENTES";"869";"1112";"764";"1145";"1793";"884";"6567"
"261630 VICENCIA";"516";"685";"713";"2195";"1502";"3413";"9024"
"261640 VITORIA DE SANTO ANTAO";"3434";"5182";"6410";"4868";"10548";"7250";"37692"
"261650 XEXEU";"498";"461";"797";"601";"1087";"279";"3723"
"270010 AGUA BRANCA";"392";"565";"490";"662";"1639";"5647";"9395"
"270020 ANADIA";"272";"425";"510";"530";"1123";"3150";"6010"
"270030 ARAPIRACA";"7390";"13087";"8737";"9745";"25703";"13733";"78395"
"270040 ATALAIA";"1187";"1371";"1450";"1833";"3398";"5703";"14942"
"270050 BARRA DE SANTO ANTONIO";"546";"2927";"457";"799";"1341";"2520";"8590"
"270060 BARRA DE SAO MIGUEL";"208";"182";"242";"259";"510";"709";"2110"
"270070 BATALHA";"384";"454";"751";"518";"987";"2487";"5581"
"270080 BELEM";"278";"226";"168";"135";"611";"1184";"2602"
"270090 BELO MONTE";"89";"322";"196";"388";"448";"980";"2423"
"270100 BOCA DA MATA";"767";"1175";"847";"1776";"1776";"3523";"9864"
"270110 BRANQUINHA";"286";"432";"353";"441";"818";"1932";"4262"
"270120 CACIMBINHAS";"199";"305";"315";"343";"560";"1703";"3425"
"270130 CAJUEIRO";"580";"1270";"905";"1360";"1737";"2800";"8652"
"270135 CAMPESTRE";"180";"250";"230";"644";"440";"704";"2448"
"270140 CAMPO ALEGRE";"683";"927";"805";"8899";"2786";"5851";"19951"
"270150 CAMPO GRANDE";"188";"112";"219";"365";"415";"1120";"2419"
"270160 CANAPI";"421";"321";"312";"665";"859";"1372";"3950"
"270170 CAPELA";"316";"453";"442";"587";"995";"2393";"5186"
"270180 CARNEIROS";"167";"212";"224";"280";"934";"2856";"4673"
"270190 CHA PRETA";"124";"193";"175";"157";"377";"840";"1866"
"270200 COITE DO NOIA";"238";"135";"306";"288";"1835";"2238";"5040"
"270210 COLONIA LEOPOLDINA";"357";"328";"571";"545";"878";"3753";"6432"
"270220 COQUEIRO SECO";"147";"107";"191";"395";"410";"428";"1678"
"270230 CORURIPE";"878";"1901";"2062";"2065";"3518";"8962";"19386"
"270235 CRAIBAS";"939";"1793";"1173";"873";"1891";"3340";"10009"
"270240 DELMIRO GOUVEIA";"1266";"1820";"1745";"2293";"2720";"5571";"15415"
"270250 DOIS RIACHOS";"112";"245";"338";"586";"615";"1168";"3064"
"270255 ESTRELA DE ALAGOAS";"217";"601";"449";"471";"1123";"1518";"4379"
"270260 FEIRA GRANDE";"609";"848";"544";"539";"1354";"3520";"7414"
"270270 FELIZ DESERTO";"152";"107";"124";"118";"350";"1726";"2577"
"270280 FLEXEIRAS";"208";"431";"333";"342";"756";"1196";"3266"
"270290 GIRAU DO PONCIANO";"919";"1190";"958";"996";"2035";"6685";"12783"
"270300 IBATEGUARA";"552";"582";"586";"550";"1050";"852";"4172"
"270310 IGACI";"522";"603";"739";"640";"1492";"775";"4771"
"270320 IGREJA NOVA";"486";"554";"623";"629";"1401";"1401";"5094"
"270330 INHAPI";"456";"679";"479";"587";"1486";"2590";"6277"
"270340 JACARE DOS HOMENS";"110";"205";"182";"217";"439";"703";"1856"
"270350 JACUIPE";"122";"145";"160";"249";"394";"1721";"2791"
